title,link
Adobe.Acrobat.CVE-2024-39425.Race.Condition,https://www.fortiguard.com/encyclopedia/ips/56586
Adobe.Acrobat.CVE-2024-39420.Race.Condition,https://www.fortiguard.com/encyclopedia/ips/56577
Adobe.ColdFusion.CVE-2024-41874.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/56579
MS.Windows.CVE-2024-38237.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56534
MS.Windows.Driver.CVE-2024-38238.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56536
MS.Windows.Driver.CVE-2024-38241.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56532
MS.Windows.Driver.CVE-2024-38242.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56535
MS.Windows.Driver.CVE-2024-38243.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56533
MS.Windows.Driver.CVE-2024-38244.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56537
MS.Windows.Driver.CVE-2024-38245.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56538
Severalnines.ClusterControl.CMON.API.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/56574
Google.Chrome.V8.CVE-2024-1939.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/56557
Tananaev.Solutions.Traccar.devices.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/56559
VMware.Spring.Cloud.Data.Flow.Skipper.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/56555
AVTECH.AVM1203.Factory.cgi.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56551
Bazarr.swaggerui.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/56552
NETGEAR.ProSAFE.NMS.CVE-2024-5246.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56545
Rockwell.Automation.ControlLogix.CVE-2024-6242.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56507
